"";"Annee";"Num_operation";"date_peche";"Code_station";"Lb_station";"Coord_X";"Coord_Y";"Cd_Rdd";"Lb_Rdd";"Methode_prospection";"Mode_prospection";"Nombre_passage";"Surface_prospectee"
"1";2008;1957;2008-10-21 09:00:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";1;641,7
"2";2008;1957;2008-10-21 09:00:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";2;641,7
"3";2010;2129;2010-09-30 09:30:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";1;1058,5
"4";2012;2354;2012-09-27 09:15:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";1;980
"5";2015;2429;2015-08-26 09:00:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";1;816
"6";2016;5053;2016-08-23 14:00:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";1;1015
"7";2018;39210;2018-08-08 14:15:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";1;882
"8";2021;86292;2021-09-28 10:10:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";1;560
"9";2021;86292;2021-09-28 10:10:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";2;560
"10";2022;87917;2022-08-23 16:00:00;"01009000";"La Solre à Ferriere-la-Petite";4,01259701731127;50,233680094206;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";1;550
"11";2008;1958;2008-09-11 14:30:00;"01024000";"Sensée rivière à Wavrechain-sous-faulx";3,2969354676791;50,2766174486901;NA;NA;"Pêche partielle par points (grand milieu)";"En bateau";NA;937,5
