"";"Annee";"Num_operation";"date_peche";"Code_station";"Code_espece_onema";"Code_INPN";"Effectif_peche"
"1";1978;32161;1978-10-12;"06150707";"TRF";67778;57
"2";1980;4599;1980-09-02;"03273242";"ANG";66832;36
"3";1980;4599;1980-09-02;"03273242";"CHA";69182;13
"4";1980;4599;1980-09-02;"03273242";"LOF";67550;3
"5";1980;4599;1980-09-02;"03273242";"SAT";67765;27
"6";1980;4599;1980-09-02;"03273242";"TRF";67778;31
"7";1980;4599;1980-09-02;"03273242";"TRM";67774;4
"8";1980;4599;1980-09-02;"03273242";"VAI";67404;2
"9";1981;4076;1981-08-25;"03232450";"ANG";66832;53
"10";1981;4076;1981-08-25;"03232450";"CHE";67310;1
"11";1981;4076;1981-08-25;"03232450";"GAR";67422;1
"12";1981;4076;1981-08-25;"03232450";"GOU";67257;12
"13";1981;4076;1981-08-25;"03232450";"LOF";67550;2
"14";1981;4076;1981-08-25;"03232450";"LPP";66333;1
"15";1981;4076;1981-08-25;"03232450";"TRF";67778;13
"16";1981;5162;1981-09-16;"04178103";"ANG";66832;83
"17";1981;5162;1981-09-16;"04178103";"CHA";69182;6
"18";1981;5162;1981-09-16;"04178103";"LOF";67550;1
"19";1981;5162;1981-09-16;"04178103";"SAT";67765;37
"20";1981;5162;1981-09-16;"04178103";"TRF";67778;91
"21";1981;5162;1981-09-16;"04178103";"TRM";67774;8
"22";1981;5162;1981-09-16;"04178103";"VAI";67404;1
"23";1982;8413;1982-08-10 14:00:00;"03085680";"BRB";67203;5
"24";1982;8413;1982-08-10 14:00:00;"03085680";"CHA";69182;224
"25";1982;8413;1982-08-10 14:00:00;"03085680";"CHE";67310;32
"26";1982;8413;1982-08-10 14:00:00;"03085680";"EPI";426026;128
"27";1982;8413;1982-08-10 14:00:00;"03085680";"GAR";67422;31
"28";1982;8413;1982-08-10 14:00:00;"03085680";"GOU";67257;37
"29";1982;8413;1982-08-10 14:00:00;"03085680";"GRE";69354;2
"30";1982;8413;1982-08-10 14:00:00;"03085680";"LOF";67550;391
"31";1982;8413;1982-08-10 14:00:00;"03085680";"LPP";66333;33
"32";1982;8413;1982-08-10 14:00:00;"03085680";"PER";69350;116
"33";1982;8413;1982-08-10 14:00:00;"03085680";"SPI";67104;3
"34";1982;8413;1982-08-10 14:00:00;"03085680";"TRF";67778;124
"35";1982;8413;1982-08-10 14:00:00;"03085680";"VAI";67404;616
"36";1982;8413;1982-08-10 14:00:00;"03085680";"VAN";67295;22
"37";1982;9761;1982-08-10 09:35:00;"03085824";"GOU";67257;25
"38";1982;9761;1982-08-10 09:35:00;"03085824";"LOF";67550;416
"39";1982;9761;1982-08-10 09:35:00;"03085824";"TRF";67778;41
"40";1982;9761;1982-08-10 09:35:00;"03085824";"VAI";67404;263
"41";1982;10055;1982-08-11 09:00:00;"03085935";"CHA";69182;210
"42";1982;10055;1982-08-11 09:00:00;"03085935";"CHE";67310;14
"43";1982;10055;1982-08-11 09:00:00;"03085935";"GAR";67422;18
"44";1982;10055;1982-08-11 09:00:00;"03085935";"GOU";67257;6
"45";1982;10055;1982-08-11 09:00:00;"03085935";"LOF";67550;127
"46";1982;10055;1982-08-11 09:00:00;"03085935";"PER";69350;1
"47";1982;10055;1982-08-11 09:00:00;"03085935";"TAN";67478;1
"48";1982;10055;1982-08-11 09:00:00;"03085935";"TRF";67778;88
"49";1982;10055;1982-08-11 09:00:00;"03085935";"VAI";67404;397
"50";1983;5177;1983-09-29;"04181960";"ANG";66832;15
"51";1983;5177;1983-09-29;"04181960";"CHA";69182;26
"52";1983;5177;1983-09-29;"04181960";"SAT";67765;6
"53";1983;5177;1983-09-29;"04181960";"TRF";67778;132
"54";1983;5422;1983-06-06;"04215750";"ABH";67286;1
"55";1983;5422;1983-06-06;"04215750";"ABL";67111;5
"56";1983;5422;1983-06-06;"04215750";"ANG";66832;74
"57";1983;5422;1983-06-06;"04215750";"BRB";67203;79
"58";1983;5422;1983-06-06;"04215750";"BRE";67074;7
"59";1983;5422;1983-06-06;"04215750";"BRO";67606;16
"60";1983;5422;1983-06-06;"04215750";"GAR";67422;33
"61";1983;5422;1983-06-06;"04215750";"PER";69350;2
"62";1983;5422;1983-06-06;"04215750";"PES";69338;19
"63";1983;5422;1983-06-06;"04215750";"ROT";67466;1
"64";1983;5425;1983-06-14;"04201990";"ABL";67111;1
"65";1983;5425;1983-06-14;"04201990";"BRB";67203;2
"66";1983;5425;1983-06-14;"04201990";"BRO";67606;1
"67";1983;5425;1983-06-14;"04201990";"CHE";67310;6
"68";1983;5425;1983-06-14;"04201990";"EPT";69016;1
"69";1983;5425;1983-06-14;"04201990";"GAR";67422;44
"70";1983;5425;1983-06-14;"04201990";"GOU";67257;25
"71";1983;5425;1983-06-14;"04201990";"LOF";67550;1
"72";1983;5425;1983-06-14;"04201990";"PER";69350;13
"73";1983;5425;1983-06-14;"04201990";"ROT";67466;1
"74";1983;5425;1983-06-14;"04201990";"TAN";67478;1
"75";1983;5425;1983-06-14;"04201990";"VAN";67295;2
"76";1983;8810;1983-10-20 14:30:00;"02123275";"TRF";67778;1
"77";1983;10735;1983-11-09 09:30:00;"03041757";"CHA";69182;28
"78";1983;10735;1983-11-09 09:30:00;"03041757";"EPT";69016;2
"79";1983;10735;1983-11-09 09:30:00;"03041757";"GAR";67422;1
"80";1983;10735;1983-11-09 09:30:00;"03041757";"LPP";66333;4
"81";1983;10735;1983-11-09 09:30:00;"03041757";"TRF";67778;31
"82";1984;4254;1984-09-04 09:00:00;"03200088";"ANG";66832;2
"83";1984;4254;1984-09-04 09:00:00;"03200088";"CHA";69182;1
"84";1984;4254;1984-09-04 09:00:00;"03200088";"GAR";67422;49
"85";1984;4254;1984-09-04 09:00:00;"03200088";"LOF";67550;2
"86";1984;4254;1984-09-04 09:00:00;"03200088";"TAC";67804;1
"87";1984;4254;1984-09-04 09:00:00;"03200088";"VAI";67404;1
"88";1984;4254;1984-09-04 09:00:00;"03200088";"VAN";67295;4
"89";1984;5189;1984-10-03;"04181960";"ANG";66832;14
"90";1984;5189;1984-10-03;"04181960";"CHA";69182;14
"91";1984;5189;1984-10-03;"04181960";"LOF";67550;2
"92";1984;5189;1984-10-03;"04181960";"SAT";67765;15
"93";1984;5189;1984-10-03;"04181960";"TRF";67778;169
"94";1984;5189;1984-10-03;"04181960";"VAI";67404;2
"95";1984;5581;1984-09-20;"04383000";"ANG";66832;7
